dQhVBZsLq5gBC0Mf,1404768816,2176150172
MNFl5eaqwtXdSFom,777584946,2813866578
FKGST2ZTJGrx1cGG,1139741571,4206339842
vk8JZHjPCVWyCO5e,4278266573,1582538521
yVORNdm5ei6zM4iE,750204905,62145037
RtSV6BDWE1E8FyDP,2645774016,4070811586
DuMmoXazGn4jBrcM,198956572,2107937174
XfKOvxqbhmNgYsAf,1937235411,3683888785
dQhVBZsLq5gBC0Mf,2063405761,2486365383
FFEuQWJDyil7jzZf,3194106894,558293000
XfKOvxqbhmNgYsAf,2903067857,1043683213
r1tOLBEkQIbr5x0P,1644306360,1125785232
WmuXJGqPJAA8xp9V,690943130,73333873
mfZc7o1MlIEA46bY,3090011273,2782911679
zywLjK5oXBc2HvKd,818595506,1368354373
C4EFUbbHApfPqUF2,3871616387,621564763
gcE85a8YxFJXeJDC,2477351058,4004088849
DuMmoXazGn4jBrcM,2949517665,906989563
AXlUF09EonL3zNet,3517915586,3129870882
zzmm8lUJCbldP02k,1242732150,4221877448
